"","."
"v1","STUDY NUMBER - DISTRIBUTOR"
"v2","STUDY NUMBER - PUBLISHER"
"v3","GESIS ARCHIVE VERSION"
"v4","EUROBAROMETER NUMBER"
"v5","UNIQUE CASE ID (TNS COUNTRY ID + INTERVIEW ID)"
"v6","NATION - ALL SAMPLES"
"v7","NATION - ALL SAMPLES ISO 3166"
"v8","W1 WEIGHT RESULT FROM TARGET"
"v9","NATION - UNITED KINGDOM"
"v10","W4 WEIGHT UNITED KINGDOM"
"v11","NATION - UNITED GERMANY"
"v12","W3 WEIGHT GERMANY"
"v13","NATION GROUP EU6"
"v14","W5 WEIGHT EU6"
"v15","NATION GROUP EU9"
"v16","W6 WEIGHT EU9"
"v17","NATION GROUP EU10"
"v18","W7 WEIGHT EU10"
"v19","NATION GROUP EU12"
"v20","W8 WEIGHT EU12"
"v21","NATION GROUP EU12+"
"v22","W9 WEIGHT EU12+"
"v23","NATION GROUP EU NMS 3"
"v24","W10 WEIGHT EU NMS 3"
"v25","NATION GROUP EU15"
"v26","W11 WEIGHT EU15"
"v27","NATION GROUP EU NMS 10"
"v28","W13 WEIGHT EU NMS 10"
"v29","NATION GROUP EU25"
"v30","W14 WEIGHT EU25"
"v31","NATION GROUP AC (BG RO)"
"v32","W18 WEIGHT AC (BG RO)"
"v33","NATION GROUP EU27"
"v34","W22 WEIGHT EU 27"
"v35","NATION GROUP EU NMS 12"
"v36","W24 WEIGHT EU NMS 12"
"v37","NATION GROUP EURO ZONE 2009"
"v38","W81 WEIGHT EURO ZONE 2009"
"v39","NATION GROUP NON EURO ZONE 2009"
"v40","W82 WEIGHT NON EURO ZONE 2009"
"v41","WEX WEIGHT EXTRA POPULATION 15+"
"v42","Q1 NATIONALITY BELGIUM"
"v43","Q1 NATIONALITY DENMARK"
"v44","Q1 NATIONALITY GERMANY"
"v45","Q1 NATIONALITY GREECE"
"v46","Q1 NATIONALITY SPAIN"
"v47","Q1 NATIONALITY FRANCE"
"v48","Q1 NATIONALITY IRELAND"
"v49","Q1 NATIONALITY ITALY"
